No	Tweets	Label
1	@USER Someone should'veTaken" this piece of <b>shit</b> to a volcano."	No
2	@USER @USER Oh noes! Tough <b>shit</b>	Yes
3	@USER @USER @USER @USER LOL!!! Throwing the <b>bullshit</b> Flag on such nonsense!! #PutUpOrShutUp #Kavanaugh #MAGA #CallTheVoteAlready URL	Yes
4	@USER @USER Da <b>fuck</b> is going on people? There's the men's room and the women's room Pick one and stick w it	Yes
5	@USER <b>fuck</b> off	Y
6	@USER @USER The prison system is so <b>fucked</b> Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing""	No
7	@USER <b>fuck</b> em	Yes
8	@USER This all I get <b>damn</b> these haters deleting you IG for no reason... URL	Yes
9	@USER SJSHSJ THATS MY JOB <b>bitch</b>	Yes
10	@USER He is a <b>dumbass</b> !!!!!	Yes
11	@USER At this point in time... I don't think Pres. Trump gives a <b>shit</b> and neither do I! LOL URL	No
12	@USER @USER @USER <b>bullshit</b> Regulations are good because it keeps conservatives from striping our land into the Abyss	No
13	@USER you <b>fucking</b> -	Yes
14	@USER Yeah we need some more made up <b>bullshit</b> protestors and antifa lol time for an epic beatdow	Yes
15	@USER By the way why don’t you move to Haiti ? You liberals seem to make <b>shit</b> holes out of large cities. So go somewhere where it’s already a shit hole so you don’t have to do any work !	No
16	@USER By the way why don’t you move to Haiti ? You liberals seem to make shit holes out of large cities. So go somewhere where it’s already a <b>shit</b> hole so you don’t have to do any work !	Yes
17	Shouldn't <b>pussy</b> grabbing @USER be the one wearing the gloves while handling food? #MAGA URL	No
18	@USER @USER @USER May be you have forgotten that at the moment we are EU citizens and so all rights afforded to us are the same as for other EU citizens. Don’t believe all the <b>shit</b> that goes on in your head.	No
19	@USER @USER Just looked up his work History he is listed on the Board of Leading Age Services Aust (LASA) and comes from Medicare Local Alliance...what ever the <b>hell</b> that is	No
20	@USER Cause who <b>bitches</b> be playing with god aint give me the gift for nothing	Yes
21	@USER Coming from the man that threatened to try and kick Turmps <b>ass</b> now don't that take a set of ball's	No
22	@USER @USER @USER @USER @USER <b>bitch</b> URL	Yes
23	@USER yea your the <b>bitch</b> on the right getting smacked URL	Yes
24	@USER Bro go watch how he hold his backwood in the interview like that <b>shit</b> was irritating lmao nigga is mad suspicious	No
25	@USER Bro go watch how he hold his backwood in the interview like that shit was irritating lmao <b>nigga</b> is mad suspicious	No
26	A <b>bitch</b> built like that could beat my ass all she wants URL	Yes
27	A bitch built like that could beat my <b>ass</b> all she wants URL	No
28	@USER What the <b>fuck</b> game are you watching?	No
29	@USER If you go by anything other than he or she you are <b>fucked</b> in the head.	Yes
30	#ThursdayThoughts- <b>fuck</b> liberals. Forever.	Yes
31	@USER @USER Mxm <b>nigger</b> thinks we give a fuck URL	Yes
32	@USER @USER Mxm nigger thinks we give a <b>fuck</b> URL	No
33	@USER What insanely ridiculous <b>bullshit</b>	Yes
34	@USER We shouldn’t be surprised. These same pigs worked with neonazis to unmask antifa protestors. And the local coverage by <b>shit</b> journos like @USER didn’t cover that AT ALL. We had to rely on @USER for investigative coverage URL	Yes
35	(2020 election season) Trump: my <b>dick</b> is the most magnificent dick Just tremendous. Leftists: prove it you Russian puppet! Trump: *whips dick out in fit of senility* Conservatives: *vote Trump to victory*	Yes
36	(2020 election season) Trump: my dick is the most magnificent <b>dick</b> Just tremendous. Leftists: prove it you Russian puppet! Trump: *whips dick out in fit of senility* Conservatives: *vote Trump to victory*	Yes
37	(2020 election season) Trump: my dick is the most magnificent dick Just tremendous. Leftists: prove it you Russian puppet! Trump: *whips <b>dick</b> out in fit of senility* Conservatives: *vote Trump to victory*	Yes
38	@USER <b>hell</b> did they boycott McEnroe.....this is too much!!	No
39	@USER IM GOING HARDCORE <b>bitch</b>	Yes
40	@USER I used to do signifing monkey by heart. Played it for the wife and she is like what the <b>hell</b>	No
41	@USER 2018 charts she is. Overall <b>fuck</b> no. Cardi got ways to go to catch niki	Yes
42	@USER <b>bullshit</b>	Yes
43	@USER I feel pretty <b>fucked</b> then cuz I started out fine	No
44	@USER @USER NOT A SNOWBALLS CHANCE IN <b>hell</b> DIMWIT DEM. Start taking losing like a man.....err...like a....uhm? Whatever you identify as today. WE WILL #MAGA NOT TIRED OF #WINNING SEE YOU IN NOVEMBER FOR THE #REDWAVERISING2018 YOU CAN'T STOP #Scotus	No
45	@USER @USER My Stoned Wheat Crackers! Where the <b>hell</b> did they put the Stoned Wheat Crackers?	No
46	@USER CBS sez CEO Leslie Moonves' out on his <b>ass</b> after several allegations he was chasing ass COO Joseph Iannello will be interim CEO until somebody accuses him of the same thing... This shit never ends... Ooops...	Yes
47	@USER CBS sez CEO Leslie Moonves' out on his ass after several allegations he was chasing <b>ass</b> COO Joseph Iannello will be interim CEO until somebody accuses him of the same thing... This shit never ends... Ooops...	No
48	@USER CBS sez CEO Leslie Moonves' out on his ass after several allegations he was chasing ass COO Joseph Iannello will be interim CEO until somebody accuses him of the same thing... This <b>shit</b> never ends... Ooops...	No
49	@USER I didn’t tweet this lol I needa get my Twitter off this <b>shit</b>	No
50	@USER Then HAUL YOUR FAT <b>ass</b> IN HARMS WAY YOU DRUGGIE!!!	Yes
51	@USER its so cool that the blind idiot god" concept is already a real thing from a religion thousands of years old but peopl ehave to make it a <b>fucking</b> cthulhu reference for retard cred"	No
52	@USER Rezz is a dumb <b>bitch</b> who will get a rude awakening from BNF in Mexico lol URL	Yes
53	@USER Another <b>dumbass</b> Democrat. One thing you have to say about this president is he’s not lazy. Another bullshit story as usual	Yes
54	@USER Another dumbass Democrat. One thing you have to say about this president is he’s not lazy. Another <b>bullshit</b> story as usual	Yes
55	@USER So it moves forward. <b>damn</b> the facts as long as you keep up the narrative! The Dangerous line is the sliding scale line that you bunch of liberal idiots use to vilify Conservatives or justify the actions of liberals	No
56	@USER @USER (She is clearly agitated in a defensive stance) <b>shit</b> what is she doing here	Yes

87	@USER Niggaz buying <b>pussy</b> bitches trying to buy love...	Yes
88	@USER Niggaz buying pussy <b>bitches</b> trying to buy love...	Yes
89	@USER Does not suffer fools and has seen enough <b>shit</b> to last nine lives.	No
90	@USER Believe the woman. What person would volunteer for the <b>shit</b> show she is about to experience if it weren’t true. I stand in solidarity with Christine Blasey Ford.	Yes
91	@USER Hmmm...they <b>piss</b> off the portion of the population that actually supported football and are shocked their numbers took a nose dive? Shocking!	Yes
92	@USER I <b>fucking</b> love this!!!! so so true. and actually it’s in those types of jobs you will learn the most	No
94	A <b>bitch</b> is complaining to corporate about me in our lobby lmaooo	Yes
95	@USER I saw some <b>shit</b> today that made me want to @ her and politely ask her if I could be her stylist.... because I'm not here for these early 2000 bangle bracelets and unnecessary accessories like who's responsible? I have a few words. URL	No
96	@USER yyyy <b>fuck</b> no bitch we decided we both was gone steepppp	Yes
97	@USER yyyy fuck no <b>bitch</b> we decided we both was gone steepppp	Yes
98	@USER <b>damn</b> he fell victim to a little thing called TOS much like the ones on his own site URL URL	No
99	@USER Coming from a guy who worries more about straws than cleaning up failed <b>shitty</b> policies..now he knows best..lol	Yes
100	@USER How <b>fucking</b> sad	No
101	@USER what the actual fuck..ill report them this is so <b>fucked</b> up	Yes
102	@USER He should leak that <b>shit</b> anyways lol	No
103	-____- No other 1st world country has <b>bullshit</b> like this because they don't have bullshit problems like this fuck the gun industry and fuck the dipshits enabling them preventing sensible gun control URL	Yes
104	-____- No other 1st world country has bullshit like this because they don't have <b>bullshit</b> problems like this fuck the gun industry and fuck the dipshits enabling them preventing sensible gun control URL	Yes
105	-____- No other 1st world country has bullshit like this because they don't have bullshit problems like this <b>fuck</b> the gun industry and fuck the dipshits enabling them preventing sensible gun control URL	Yes
106	-____- No other 1st world country has bullshit like this because they don't have bullshit problems like this fuck the gun industry and <b>fuck</b> the dipshits enabling them preventing sensible gun control URL	Yes
107	@USER Nike lost $3.75 billion after kaepernick was named face of “just do it” <b>bullshit</b>	Yes
108	@USER Google go to <b>hell</b>	Yes
109	@USER I want to kiss your <b>ass</b>	No
110	@USER For what??? Lies and rumors being spread by liberals with their known pattern? <b>hell</b> NO.	Yes
111	@USER Grew up listening to K.I.D.S <b>shit</b> breaks my heart RIP	No
112	@USER Ur head bout big as <b>shit</b>	Yes
113	@USER Blame Trump for the weather and the corruption that existed for decades in PR. What an <b>ass</b> typical democratic	Yes
114	@USER @USER That <b>nigga</b> snitched and added spice on top of his snitching	Yes
115	@USER An idiot. Where the <b>fuck</b> do they get these people?	Yes
116	@USER Start by not tweeting <b>pussy</b> ass shit	Yes
117	@USER Start by not tweeting pussy <b>ass</b> shit	Yes
118	@USER Start by not tweeting pussy ass <b>shit</b>	Yes
119	@USER I AM SO WEAK SHE REALLY BEAT HER <b>ass</b>	No
120	@USER Bird <b>ass</b> URL	Yes
